id,status,stage,name,ref,duration,queued_duration,created_at,failure_reason,web_url
7454206,success,zombienet,zombienet-polkadot-smoke-0002-parachains-parachains-upgrade-smoke,master,565.3604,447.56546,2024-09-27T12:16:16.433Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454206
7454205,success,zombienet,zombienet-polkadot-smoke-0001-parachains-smoke-test,master,387.62436,447.09787,2024-09-27T12:16:16.423Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454205
7454204,success,zombienet,zombienet-polkadot-functional-0016-approval-voting-parallel,master,571.18994,417.19302,2024-09-27T12:16:16.416Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454204
7454203,success,zombienet,zombienet-polkadot-functional-0015-coretime-shared-core,master,652.4714,381.6804,2024-09-27T12:16:16.409Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454203
7454202,success,zombienet,zombienet-polkadot-functional-0014-chunk-fetching-network-compatibility,master,655.95886,381.2871,2024-09-27T12:16:16.401Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454202
7454201,failed,zombienet,zombienet-polkadot-functional-0013-systematic-chunk-recovery,master,382.63293,351.39645,2024-09-27T12:16:16.393Z,script_failure,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454201
7454200,success,zombienet,zombienet-polkadot-functional-0012-spam-statement-distribution-requests,master,446.7973,321.9773,2024-09-27T12:16:16.385Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454200
7454199,success,zombienet,zombienet-polkadot-elastic-scaling-0002-elastic-scaling-doesnt-break-parachains,master,621.8394,321.60687,2024-09-27T12:16:16.377Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454199
7454198,success,zombienet,zombienet-polkadot-elastic-scaling-0001-basic-3cores-6s-blocks,master,442.3851,40.77465,2024-09-27T12:16:16.370Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454198
7454197,success,zombienet,zombienet-polkadot-functional-0011-async-backing-6-seconds-rate,master,821.1619,20.496243,2024-09-27T12:16:16.363Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454197
7454196,success,zombienet,zombienet-polkadot-functional-0010-validator-disabling,master,761.38654,19.893385,2024-09-27T12:16:16.356Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454196
7454195,success,zombienet,zombienet-polkadot-functional-0009-approval-voting-coalescing,master,700.43463,19.226372,2024-09-27T12:16:16.348Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454195
7454194,success,zombienet,zombienet-polkadot-functional-0008-dispute-old-finalized,master,728.6784,18.962337,2024-09-27T12:16:16.340Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454194
7454193,success,zombienet,zombienet-polkadot-functional-0007-dispute-freshly-finalized,master,587.39026,19.96207,2024-09-27T12:16:16.333Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454193
7454192,success,zombienet,zombienet-polkadot-functional-0006-parachains-max-tranche0,master,697.1114,18.042757,2024-09-27T12:16:16.325Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454192
7454191,success,zombienet,zombienet-polkadot-functional-0004-parachains-disputes-garbage-candidate,master,662.1218,17.608736,2024-09-27T12:16:16.318Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454191
7454190,failed,zombienet,zombienet-polkadot-functional-0003-beefy-and-mmr,master,541.9284,17.190006,2024-09-27T12:16:16.310Z,script_failure,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454190
